_ResponseID,_START,_END,ETHICS_ethics_time,AGE,GENDER,COUNTRY,CROWDWORK_IMPORTANCE,CROWDWORK_DAYSPERWEEK,"Tme Per Day, Coded",CROWDWORK_TIMEPERDAY,CROWDWORK_USDPERDAY,CROWDWORK_HOWLONG,HOUSEHOLD_INCOME,FAIR_AMOUNT,FAIR_TREATMENT_REQUESTER,FAIR_TREATMENT_PLATFORM,FAIR_OVERALL,TXT_UNFAIRLY,TXT_FAIRER,TXT_FAIRNESSDECISION,FAIRNESS_Scenario A,FAIR_Scenario A,UNFAIR_Scenario A,FAIRNESS_Scenario B,FAIR_Scenario B,UNFAIR_Scenario B,FAIRNESS_Scenario C,FAIR_Scenario C,UNFAIR_Scenario C,FAIREST_SCENARIO,MOSTLIKED_SCENARIO,CHOICE_REASONS
1,06/03/19 14:40,06/03/19 14:57,06/03/19 14:57,77,Male,Venezuela,Money from crowd work is always necessary to make basic ends meet,5 days per week,3,"Depende del trabajo, pero normalmente son de 3 horas",15 a 20,Less than 1 year,"10,000 USD or less","Yes, almost all of the time",Most of the time,Most of the time,Most of the time,"No tengo ninguna queja, estoy realmente feliz con f8. Y mas ahora que siempre andan innovando la plataforma","Como esta, creo que esta bien","A veces tienen errores pero mayormente las corrigen, y creo que si influye y estan perfectamente bien",Neither Fair nor Unfair,Creo que esta 50 y 50,Pienso que deberian pagar un poco mas,Very UNFAIR,"En vez de pagar por año, deberian pagar por dias",Que pagan muy poco,Quite FAIR,Creo que asi esta bien,No la veo injusta,"Scenario C: Research University, immediate pay","Scenario C: Research University, immediate pay","Creo que el mejor escenario es el C, y por esa razon la veo la mas razonable a la hora del pago"
2,06/03/19 14:37,06/03/19 14:57,06/03/19 14:57,31,Male,Turkey,Money from crowd work is always necessary to make basic ends meet,7 days per week,8,8 hours,5 $,Less than 1 year,"10,000 USD or less","No, never or very rarely","Sometimes, about 50:50",Ocassionally,Ocassionally,There are many unfair jobs and anfair corrections about jobs but they are never been corrected generelly. And fees are too low. For example most of job give only 1-2 dolar per hour. It is very bad,Firstly they should increase fees and review unfair tasks,Definetely FAIRNESS is important to work. I work only one times at unfair jobs then I never return to it.,Quite UNFAIR,Pay is not bad.,The instructions of Jobs like that are very bad. So At this job a better instructions should be added.,Quite UNFAIR,At this point there is no fair thing. Because future is uncertain,First pay is too low. Next pays are not definite. So It is totally bad.,Quite FAIR,Pay is not bad.,"No genereally, instructions are important","Scenario A: Private company, immediate pay","Scenario A: Private company, immediate pay","Because the pay is nearly good. And If the instructions are clear , it can be easy."
3,06/03/19 14:39,06/03/19 15:00,06/03/19 15:00,43,Male,Serbia,Money from crowd work is a way for me to pay for nice extras,7 days per week,12,12 hours,5,About 2 years,"10,000 USD or less",Most of the time,Most of the time,"Yes, almost all of the time","Yes, almost all of the time","Few times didn't past test question/expelled form work mode. Some time by my mistake, but sometimes don't . There is some task authors which don't follow their own rule or some task authors didn't check test question or have old data.",Better control of task authors/test questions and better support for contributors.,"Yes, of course; if task didn't fair I will not work or I'll give up.",Very FAIR,Good pay for task.,"I don't know, look like everything OK for me.",Quite FAIR,Look like solid pay.,If any of workers loose their account (deactivation by some reason) they didn't receive money even if they completed good job for company?,Very FAIR,Good pay. Tool will be available for publicly founded hospitals.,"Nothing, everything look OK for me.","Scenario C: Research University, immediate pay","Scenario C: Research University, immediate pay","I think that this scenario has the most benefits for all: public, company and crowd workers."
4,06/03/19 14:38,06/03/19 15:00,06/03/19 15:00,39,Male,Venezuela,"Money from crowd work is nice, but doesn’t really change my circumstances",6 days per week,7,6-8 hours,6$ - 10$,About 4 years,"10,000 USD or less",Most of the time,Most of the time,Most of the time,"Yes, almost all of the time",There is no particular way,Being clearer at the time of giving the instructions are sometimes very confusing and when presenting the work there is no similarity,"If justice influences because if they are fair with the work assigned, there will be more possibilities to participate in the",Very FAIR,It is fair because it is an investment that you intend to make to obtain a profit,I do not really see something unfair since one decides whether to participate or not,Neither Fair nor Unfair,"I think he wants to save and get more profit but there would be many factors that influence as the difilcutad of work

",Es injusto por que la remuneración se calcula según el éxito del trabajo no me parece bueno,Very UNFAIR,"There is no monetary interest and the payment would be very fair

",I do not see an unfair scenario since it will be for a public use,"Scenario C: Research University, immediate pay","Scenario C: Research University, immediate pay",No doubt work for a good pay and more if it is for a collective good
5,06/03/19 15:08,06/03/19 15:16,06/03/19 15:16,28,Male,Serbia,"Money from crowd work is nice, but doesn’t really change my circumstances",5 days per week,7,seven hours,5  US,About 2 years,"50,001 - 60,000 USD",Most of the time,"Yes, almost all of the time","Yes, almost all of the time","Yes, almost all of the time",I dont have,everything is under control,"no, I love new challenges",Neither Fair nor Unfair,hour price,expenditure workers,Neither Fair nor Unfair,new idea,hours price,Neither Fair nor Unfair,hour price ,expenditure workers,"Scenario B: Private company, profit-linked pay","Scenario B: Private company, profit-linked pay",because new idea
6,06/03/19 15:10,06/03/19 15:21,06/03/19 15:21,44,Male,Greece,Money from crowd work is sometimes necessary to make basic ends meet,7 days per week,2,2 HOURS,1.5,"About 5 years, or longer","10,000 - 20,000 USD",Most of the time,Most of the time,Most of the time,Most of the time,"There were some times that my work banned from authors with no reason, but after some days there were always corrections.",By giving more clear instructions of tasks completion,"No, it does not",Quite FAIR,I( believe that the extend of workers will make fair results,The reward could be higher,Quite FAIR,It is fair for the company to distribute profit to the very men that helped to improve the diagnostis tool,The reward could be higher,Very UNFAIR,NOTHING,The university should do this without any reward because the benefit will be publicly available for common good,"Scenario B: Private company, profit-linked pay","Scenario C: Research University, immediate pay",If there is something I can do for common good I will do it without reward.
7,06/03/19 15:10,06/03/19 15:27,06/03/19 15:27,40,Female,Brazil,Money from crowd work is a way for me to pay for nice extras,3 days per week,n/a,5 days,5 usd,About 1 year,"10,000 USD or less",Most of the time,Most of the time,Most of the time,Most of the time,None,Send more jobs with larger payouts,"Yes, if the work is fair I strive more to do better",Quite UNFAIR,$10.50 / hour,None,Quite FAIR,Profit sharing is positive,NDA,Neither Fair nor Unfair,"publicly-funded hospitals ""at cost"" (i.e. not for a profit).",None,"Scenario B: Private company, profit-linked pay","Scenario A: Private company, immediate pay",Certainty of being paid for the period worked
8,06/03/19 14:38,06/03/19 15:30,06/03/19 15:30,30,Male,Venezuela,Money from crowd work is always necessary to make basic ends meet,6 days per week,7,40 hours,70 Dollars,Less than 1 year,"10,000 USD or less","Sometimes, about 50:50",Most of the time,"Yes, almost all of the time",Most of the time,"well at least once I lost an account of f8 after a great effort to get to level 3 for a job that for some reason the author of the work I believe that all the accounts that had participated in that work should be deactivated thing that I see as a total abuse because it is not the only work that I have achieved in that account that are hours of effort and dedication so that an author of some work has the power to leave you without work practically, for that are the flags but a measure of this magnitude seems infinitely unfair",works with clear examples so that we do not make mistakes,I really do not understand the question,Quite FAIR,the pay,neither,Quite UNFAIR,the pay,he worker can not absorb the failure of a project of a company since similarly it performs the work and must be canceled to the worker whether it is a success or not,Very FAIR,all it is ok,neither,"Scenario C: Research University, immediate pay","Scenario C: Research University, immediate pay",I would work on this because the work is remunerated and benefits the community
9,06/03/19 15:08,06/03/19 15:35,06/03/19 15:35,39,Female,Venezuela,"Money from crowd work is nice, but doesn’t really change my circumstances",6 days per week,8,8 horas,de 4 a 6 diarios,About 4 years,"10,000 USD or less",Ocassionally,Most of the time,Most of the time,Most of the time,"
I have been treated well by this type of platform although the payment has not been very fair so to speak",one of them is the instructions that are often not explained clearly,"
if the remuneration has to be fair, but I do not do it when it is a lot of work and little remuneration",Quite FAIR,"
I think the payment is very good","
There are not",Very FAIR,"

the payment is very good",there is nothing unfair,Quite FAIR,"
fair payment",there is nothing unfair,"Scenario B: Private company, profit-linked pay","Scenario B: Private company, profit-linked pay",many benefits
10,06/03/19 15:56,06/03/19 16:10,06/03/19 16:10,28,Female,Venezuela,Money from crowd work is a way for me to pay for nice extras,7 days per week,16,16 hours,10$,About 1 year,"60,001 - 70,000 USD","Yes, almost all of the time","Sometimes, about 50:50","Sometimes, about 50:50",Ocassionally, havent been treated UNFAIRLY ,i dont know,yes,Very FAIR,the payments,nothing,Very UNFAIR,the final payment,tha time that you would pay,Very FAIR,payment,nothing,"Scenario A: Private company, immediate pay","Scenario A: Private company, immediate pay",very fair
