_ResponseID,_START,_END,Time,ETHICS_ethics_time,AGE,GENDER,COUNTRY,CROWDWORK_IMPORTANCE,CROWDWORK_DAYSPERWEEK,,,CROWDWORK_TIMEPERDAY,CROWDWORK_USDPERDAY,CROWDWORK_HOWLONG,HOUSEHOLD_INCOME,FAIR_AMOUNT,FAIR_TREATMENT_REQUESTER,FAIR_TREATMENT_PLATFORM,FAIR_OVERALL,ALLOW_BioViz,CHARGE_BioViz,QUESTIONS_BioViz,REASONS_BioViz,ALLOW_MediRay,CHARGE_MediRay,QUESTIONS_MediRay,REASONS_MediRay,ALLOW_Rare Disease Research Lab,CHARGE_Rare Disease Research Lab,QUESTIONS_Rare Disease Research Lab,REASONS_Rare Disease Research Lab,ALLOW_Diagnostico Unido,CHARGE_Diagnostico Unido,QUESTIONS_Diagnostico Unido,REASONS_Diagnostico Unido
211,31/05/19 17:08,31/05/19 17:22,30/12/99 00:13,31/05/19 17:22,34,Male,Turkey,Money from crowd work is a way for me to pay for nice extras,7 days per week,,4,4 hour,2 dolar,About 3 years,"10,000 - 20,000 USD",Most of the time,Most of the time,"Yes, almost all of the time",Most of the time,"Yes, definitely",55000, pay for worker,4.37 $ good money for each crowd worker for hour and more Expected profit ,"Yes, definitely",70000, $5.56 good for worker and more profit than before BioViz,pay for worker,"Maybe, I'm not sure",120000,company aim,Research company and help for people,"Yes, definitely",45000,pay for worker,$3.57 good money for each crowd worker for hour
212,31/05/19 17:08,31/05/19 17:22,30/12/99 00:13,31/05/19 17:22,47,Male,Venezuela,Money from crowd work is always necessary to make basic ends meet,7 days per week,,16,16 hours,15 to 20 dollars,About 3 years,"10,000 USD or less",Ocassionally,Most of the time,Most of the time,Most of the time,"Yes, definitely",500000,"As before I think we need to know exactly what kind of job they expect to be completed, I mean, how long is going to take each work, the complexity, etc. I think that if the work is divided into little pieces it might be better a the end. ","As they are going to donate some of their time and effort and also are going to donate some equipment, I think we (the crowd workers) should reduce of incomes as well in order to support their effort. ","Yes, definitely",1000000,"As before I think we need to know exactly what kind of job they expect to be completed, I mean, how long is going to take each work, the complexity, etc. I think that if the work is divided into little pieces it might be better a the end. ",I increased the amount to be paid because they are going to make profit from the research and the worker should get a profit as well.,"Yes, definitely",20000,"I would like to know about the complexity of the works, how much effort is needed to analize each cell, howl is going to take each review.",I think they should pay that amount to make the workers want to do a good a quick job in order to get the data as quickest as possible.,"Yes, definitely",400000,"As before I think we need to know exactly what kind of job they expect to be completed, I mean, how long is going to take each work, the complexity, etc. I think that if the work is divided into little pieces it might be better a the end. ",I increased the amount to be paid because they are going to make profit from the research and the worker should get a profit as well.
213,31/05/19 17:08,31/05/19 17:18,30/12/99 00:09,31/05/19 17:18,23,Female,Venezuela,Money from crowd work is a way for me to pay for nice extras,5 days per week,,4,4 h,2,Less than 1 year,"10,000 USD or less","No, never or very rarely",Ocassionally,Ocassionally,Ocassionally,"Maybe, I'm not sure",10000000,"It is known that the experiments with this tool are expensive but I would ask for more flexibility so that we can advance scientifically in all the countries
","because it's something new and a lot of people have good investment there
","No, probably not",500000,"be more understanding with people with few resources
","It is fair
","Maybe, I'm not sure",100000,"that are more flexible
","they have everything to move forward
","Yes, probably",1000000,"use all the necessary resources to improve everything
","to advance in medical technology
"
214,31/05/19 17:08,31/05/19 17:16,30/12/99 00:07,31/05/19 17:16,32,Female,Russian Federation,Money from crowd work is a way for me to pay for nice extras,2 days per week,,2,2 hours,20$,Less than 1 year,"10,000 USD or less","Sometimes, about 50:50","Sometimes, about 50:50","Sometimes, about 50:50","Sometimes, about 50:50","Yes, probably",100$,Pay more,We are very many,"Yes, probably",100$,Pay more,We are very many,"Yes, probably",100$,Pay more,We are very many,"Yes, probably",100$,Pay more,We are very many
217,31/05/19 17:10,31/05/19 17:38,30/12/99 00:28,31/05/19 17:38,20,Male,Venezuela,Money from crowd work is always necessary to make basic ends meet,7 days per week,,15,12h-18h,10$,About 3 years,"10,000 USD or less",Ocassionally,"No, never or very rarely","Sometimes, about 50:50","Sometimes, about 50:50","Yes, definitely",2500000$,"Nothing, that is what it is about, helping people with low incomes a resources.","It you take the money they will use to donate those machines the budget they have is $6 million, paying less than the half of the budget is okay for me to this company.","Yes, probably",6000000$,"As long as the machine would be available for the majority of pleople with rare diseases I think its okay, tough the expecter profit is way higher than other companies.","The same as the other one, It is a little more than half the budget they have, the taskers worked 12600 hours which is 525 days of effort and time spent on creating a database, it should be payed fairly.","No, probably not",300000$,"Something to say to them, as long as they could not payed the workers fairly they shouldnt be wanting to research about anything.","It should be waay higher but they have a little budget, either way I dont want this company to make this research because of the little payment the workers will receive.","Yes, probably",3000000$,How long it will take to see the results of the new diagnostic machine that will help to diagnose rare diseases? How much is going to be for people with rare diseases be allowed to use this machine on them?,"Almost half the budget they have, a lot of hard work and time was spent to create the dataset and it should be rewarded properly."
221,31/05/19 17:11,31/05/19 17:22,30/12/99 00:11,31/05/19 17:22,31,Male,Russian Federation,Money from crowd work is a way for me to pay for nice extras,5 days per week,,2,2 hours,4 USD,Less than 1 year,"10,000 USD or less","Sometimes, about 50:50",Most of the time,Most of the time,Most of the time,"Maybe, I'm not sure",500000,nothing special,it is ok with this budget,"Maybe, I'm not sure",500000,nothing special,it is ok with this budget,"Yes, probably",100$,nothing special,may be more but total budget is not big,"Maybe, I'm not sure",500000$,nothing special,I'm not sure but I think it is correct
223,31/05/19 17:39,31/05/19 17:53,30/12/99 00:14,31/05/19 17:53,34,Male,Canada,Money from crowd work is always necessary to make basic ends meet,7 days per week,,12,12 hours,$30,About 2 years,"40,001 - 50,000 USD",Most of the time,"Yes, almost all of the time","Yes, almost all of the time","Yes, almost all of the time","Yes, definitely","$250,000","I would want to know how much they would be paying for the data, so I could decide whether it was worth it or not to work on the job. And what they would be using the data for so I could decide whether it was a worthy cause.","Since they will be making a large profit from this data, I expect them to pay workers a bit more then a company that is not profiting.","Yes, definitely","$275,000","I would want to know how much they would be paying for the data, so I could decide whether it was worth it or not to work on the job. And what they would be using the data for so I could decide whether it was a worthy cause.","Since they will be making a large profit from this data and not making any donations, I expect them to pay workers a bit more then a company that is not profiting.","Yes, definitely","$150,000","I would want to know how much they would be paying for the data, so I could decide whether it was worth it or not to work on the job. And what they would be using the data for so I could decide whether it was a worthy cause.",Since they are not making any profit I don't think they should pay too large of an amount. The amount I chose compensates workers fairly.,"Yes, definitely","$250,000","I would want to know how much they would be paying for the data, so I could decide whether it was worth it or not to work on the job. And what they would be using the data for so I could decide whether it was a worthy cause.","Since they will be making a large profit from this data, I expect them to pay workers a bit more then a company that is not profiting."
226,31/05/19 18:09,31/05/19 18:35,30/12/99 00:26,31/05/19 18:35,50,Female,India,Money from crowd work is always necessary to make basic ends meet,3 days per week,,4,4 hour,5 dollars,Less than 1 year,"10,000 USD or less","Yes, almost all of the time","Yes, almost all of the time","Yes, almost all of the time","Yes, almost all of the time","Yes, definitely",50000,BioViz will earn more than 3 times of their investment so that BioViz should use this dataset for this purpose.,Compensation must be for workers ,"Yes, definitely",50000,MediRaywill earn more than 3 times of their investment so that MediRay should use this dataset for this purpose.,Compensation must be for workers ,"Yes, definitely",50000,Rare Disease Research Lab will take good experience which is also good his for any research and development firm.,Compensation must be for workers ,"Yes, definitely",50000,Diagnostico Unido will earn more than 3 times of their investment so that Diagnostico Unido should use this dataset for this purpose.,Compensation must be for workers 
227,31/05/19 18:09,31/05/19 18:19,30/12/99 00:09,31/05/19 18:19,31,Female,India,Money from crowd work is sometimes necessary to make basic ends meet,5 days per week,,8,8,2,About 3 years,"40,001 - 50,000 USD","Yes, almost all of the time",Most of the time,"Sometimes, about 50:50","Yes, almost all of the time","Yes, probably",46000,well this will halp in medical future ?,becuse there work done accurate and 100 percent,"Yes, probably",51000,is this data help in future for medical,beacuse there project done accuracy,"Yes, probably",81000,well this will halp in medical future ?,becuse there work done accurate and 100 percent,"Yes, probably",45000,well this will halp in medical future ?,becuse there work done accurate and 100 percent
228,31/05/19 18:42,31/05/19 19:09,30/12/99 00:26,31/05/19 19:09,32,Male,Venezuela,Money from crowd work is sometimes necessary to make basic ends meet,3 days per week,,8,8 hours,4 dollars,Less than 1 year,"10,000 USD or less","Sometimes, about 50:50",Most of the time,"Yes, almost all of the time",Most of the time,"Yes, definitely",1000000,Bring the best out of this dataset to build a great product to help others,It would help de crowd workers for the hard work,"Maybe, I'm not sure",1200000,to bring a really quality product that helps to diagnost this rare disease,because each crowd worker will receive good money,"Yes, probably",100000,I would like you to take advantage of the dataset to help others,since they are not getting profits out of this,"Yes, probably",1000000,Bring the best out of this dataset to build a great product to help others,It would be good money for the crowd worker who help built this dataset
